ticker,name,sector,country,currency,slippage_bps,local_id,delisting_date
1K3.F,"KNOWLES CORP. REGISTERED SHARES DL -,01",Unknown,—,EUR,29,A1XD6Z,
1K9.F,"CAREDX INC.       DL-,001",Unknown,—,EUR,25,A118WG,
1KJ.F,"10X GENOMICS  DL -,00001",Unknown,—,EUR,30,A2PPQJ,
1KPA.F,"PROTARA THERAPEUT.DL-,001",Unknown,—,EUR,50,A2P4JE,
1KT.DE,KEYSIGHT TECHNOLOGIES INC.,Others,USA,EUR,10,A12B6J,
1KW0.F,ECO WAVE POW.GL. SP.ADR/8,Unknown,—,EUR,38,A3CTRY,
1L30.F,LIFCO AB B,Unknown,—,EUR,32,A3CN22,
1LRC.F,EQUINOX GOLD CORP. NEW,Unknown,—,EUR,40,A2PQPG,
1LZ.F,"LEGALZOOM.COM INC.DL-,001",Unknown,—,EUR,49,A1J2MD,
1M0.DE,"HAMILTON LANE INC DL-,001",Unknown,—,EUR,36,A2DM1T,
1M4.F,"SPORTRADAR GRP A SF -,1",Unknown,—,EUR,29,A3C2JA,
1MA.F,"MACOM TECHN.SOL.H.DL-,001",Unknown,—,EUR,11,A1JU1D,
1MJ1.F,"J JILL INC. DL-,01",Unknown,—,EUR,39,A2QJAM,
1MS.F,MUNTERS GROUP AB B,Unknown,—,EUR,49,A2DRVZ,
1MTA.F,MATAS A/S,Unknown,—,EUR,40,A1W023,
1MU.DE,"MURPHY USA INC.    DL-,01",Unknown,—,EUR,9,A1W33K,
1N4.F,"NEW MOUNTAIN FINAN.DL-,01",Unknown,—,EUR,44,A1JJ6G,
1N8.DE,"ADYEN N.V.         EO-,01",Banking & Finance,Netherlands,EUR,19,A2JNF4,
1NBA.F,ANHEUSER-BUSCH INBEV,Food,Belgien,EUR,4,A2ASUV,
1NE0.F,VERRICA PHARM.   NEW O.N.,Unknown,—,EUR,40,A41A98,
3L4.DU,"GLADSTONE LAND CO.DL-,001",Unknown,—,EUR,39,A1KCL7,
1NN.F,NEINOR HOMES SA EO 10,Unknown,—,EUR,49,A2DNJB,
1NQ0.F,DIGI POWER X INC.    O.N.,Unknown,—,EUR,50,A412K2,
1NR.SG,NORTHLAND POWER INC.,Energy & Water,Canada,EUR,37,A1H5MB,
1NV.F,NAVIGATOR HLDGS LTD,Unknown,—,EUR,10,A1JY36,
1OD.F,IA FINANCIAL CORP. INC.,Unknown,—,EUR,45,A2PBLT,
1ON.F,"DOMO INC. CL.B DL-,001",Internet & Software,USA,EUR,50,A2JPBT,
1OT.F,"OVID THERAPEUTICS DL-,001",Unknown,—,EUR,50,A2DQ8S,
1P5.F,"PAVMED INC.     DL -,001",Unknown,—,EUR,2,A3E2MX,
1PE.F,"BW LPG LTD        DL -,01",Unknown,—,EUR,50,A40HQM,
1PM.DE,PRIMORIS SERVICES CORP.,Unknown,—,EUR,20,A0Q78W,
1Q3.F,"SENSIRION HOLDING SF0,1",Others,Switzerland,EUR,23,A2JGBW,
1Q5.F,DROPBOX INC CL. A,Internet & Software,USA,EUR,30,A2JE48,
1QK.F,AEDAS HOMES S.A. EO 1,Unknown,—,EUR,21,A2DXN6,
1RV.DE,"RHYTHM PHARMAC. DL-,001",Unknown,—,EUR,32,A2H5A0,
1S1.F,VIRIDIAN THERAPEUTICS,Unknown,—,EUR,35,A2QMUH,
1S2.F,FIGMA INC. A O.N.,Unknown,—,EUR,25,A41DRC,
1S3.F,SESA S.P.A.,Unknown,—,EUR,30,A1JCG0,
1S90.F,"SERES THERA.NEW  DL -,001",Unknown,—,EUR,41,A413XF,
SPU.F,SNAP ON,Various services,USA,EUR,9,853887,
1SO.SG,SAMSONITE INTL SA,Consumer goods Diverse,Luxembourg,EUR,6,A1JJ4U,
1SP.F,"SURGERY PARTNERS  DL -,01",Unknown,—,EUR,38,A14YWP,
1SQ0.MU,"SWISSQUOTE GRP HLD SF0,02",Unknown,—,EUR,23,A41ZCW,
1SXP.DE,SCHOTT PHARMA INH O.N.,Unknown,—,EUR,50,A3ENQ5,
1T1.F,TECHNIPFMC PLC DL 1,Oil & Gas,USA,EUR,43,A2DJQK,
1T3.F,"SYNDAX PHARMACEU.DL-,0001",Unknown,—,EUR,29,A2AFL6,
1T4.F,"TORM PLC A         DL-,01",Unknown,—,EUR,38,A2AGBV,
1TU.F,"TRANSUNION        DL -,01",Unknown,—,EUR,44,A14TUX,
1U1.DE,1+1 AG  INH O.N.,Telecommunications,Germany,EUR,31,554550,
1U5.F,WAVE LIFE SCIENCES LTD.,Unknown,—,EUR,49,A1436W,
1UC0.F,CUE BIOPHARMA O.N.,Unknown,—,EUR,28,A426PN,
1V1.F,"V2X INC.           DL-,01",Unknown,—,EUR,19,A12BGS,
1VRA.F,"VERALLIA SA (PROM.)EO3,38",Unknown,—,EUR,20,A2PSEA,
1VT.F,"VIKING THERAPEUT.DL -,005",Biotech & Nanotech,USA,EUR,30,A12GD6,
1VX.F,MO-BRUK S.A.        ZY 10,Unknown,—,EUR,18,A1C3YC,
1W3.F,WSP GLOBAL,Unknown,—,EUR,44,A1XBPS,
1WE.F,"FDJ UNITED  (PROM.)EO-,40",Unknown,—,EUR,24,A2PU5K,
1WF.F,WAYFAIR INC. CL.A DL -001,Others,USA,EUR,21,A12AKN,
1WT.F,"WISDOMTREE INC.    DL-,01",Unknown,—,EUR,32,A0F61X,
1X0.F,SOL STRATEGIES INC.NEW,Unknown,—,EUR,50,A41B77,
1XJ.DE,"VIPER ENERGY DL-,000001",Unknown,—,EUR,30,A41F4Y,
1YD.F,"BROADCOM INC.     DL-,001",Electronics & Semiconductors,Singapore,EUR,5,A2JG9Z,
1TY.HM,"PROSUS NV         EO -,05",Internet & Software,Netherlands,EUR,24,A2PRDK,
1YN.F,"YETI HOLDINGS INC  DL-,01",Unknown,—,EUR,46,A2N7XR,
1YQA.F,"SIG GROUP AG    NA SF-,01",Others,Switzerland,EUR,19,A2N5NU,
1ZB.F,"BLOOM ENERGY A   DL-,0001",Electronics & Semiconductors,USA,EUR,11,A2JQTG,
1ZK.F,ELMERA GROUP ASA,Unknown,—,EUR,46,A2JGNR,
1ZL.F,ZAI LAB LTD  ADR/1,Unknown,—,EUR,34,A2DX1V,
1ZU.F,"PENNANT GROUP    DL -,001",Unknown,—,EUR,35,A2PRK9,
209.F,SILEX MICROSYSTEMS  O.N.,Unknown,—,EUR,50,A42BB2,
20V.F,"NATL BEVERAGE      DL-,01",Unknown,—,EUR,31,901644,
21E.SG,"ELIOR GROUP SCA   EO -,01",Various services,France,EUR,47,A115FW,
21P.F,AURORA CANNABIS,Unknown,—,EUR,49,A4ZZ0W,
22P.F,PENNANTPARK FLOAT.RATE C.,Unknown,—,EUR,43,A1JQAB,
22T.F,"OXFORD SQUARE CAP. DL-,01",Unknown,—,EUR,42,A2JG23,
22UA.DE,BIONTECH SE SPON. ADRS 1,Biotech & Nanotech,Germany,EUR,22,A2PSR2,
22Z.DE,ZEALAND PHARMA A-S,Unknown,—,EUR,50,A0YJW7,
25K0.F,KARYOPHARM TH.NEW.DL-0001,Unknown,—,EUR,30,A40YLC,
25M.F,OPENDOOR TECHNOLOGIES INC,Unknown,—,EUR,31,A2QHR0,
260.F,CENTESSA PHARMACEUTICALS,Unknown,—,EUR,29,A3CQ72,
26CA.DE,"IMMUNITYBIO INC. DL-,0001",Unknown,—,EUR,41,A2QQ2E,
276.F,"SIF HOLDING N.V.   EO-,20",Others,Netherlands,EUR,39,A2ADY0,
27E.F,"ENOVA INTL INC.    DL-,01",Unknown,—,EUR,50,A12D51,
27J.F,"IMPINJ INC.       DL-,001",Unknown,—,EUR,11,A2ANZB,
27V0.F,AVANTIUM N.V.     EO - 1,Unknown,—,EUR,19,A419G6,
28K1.F,"BIGBEAR.AI HOLD. DL-,0001",Unknown,—,EUR,40,A3C8TH,
28T.DE,"TOPBUILD CORP.    DL -,01",Unknown,—,EUR,11,A14UY4,
29A.F,"AMPHASTAR PHARMA.DL-,0001",Unknown,—,EUR,29,A11664,
29B0.F,BUFAB AB             O.N.,Unknown,—,EUR,50,A41BGQ,
29K.F,DFDS A/S  INDEHAV.  DK 20,Unknown,—,EUR,24,A140P3,
2AR.SG,ARMOUR RES.REIT NEW,Unknown,—,EUR,14,A3EUUD,
2B30.F,"XERIS BIOPH.HOL. DL-,0001",Unknown,—,EUR,41,A3C4ZC,
2B4.F,BONESUPPORT HOLDING AB,Unknown,—,EUR,38,A2DTSD,
2BD.DE,"REDWIRE CORP.  DL -,0001",Unknown,—,EUR,23,A3D013,
2BH.F,"HCA HEALTHCARE INC.DL-,01",Healthcare & Medicine,USA,EUR,10,A1JFMW,
2CF.F,CHEFS WAREHOUSE INC.DL-01,Unknown,—,EUR,32,A1H9UZ,
2CK.F,CK HUTCHISON HOLDINGS LTD,Real Estate,Hongkong,EUR,48,A14QAZ,
2CL.DE,"BRIDGEBIO PHARMA  DL-,001",Unknown,—,EUR,20,A2PLX7,
2CP.F,CAPITAL POWER CORP.,Others,Canada,EUR,46,A0RP0Y,
2CU.F,"CHEMOURS CO.       DL-,01",Unknown,—,EUR,29,A14RPH,
2DR.F,"INSPIRE MED SYS   DL-,001",Unknown,—,EUR,27,A2JLEP,
2ED.F,"SOLAREDGE TECHN. DL-,0001",Electronics & Semiconductors,Israel,EUR,48,A14QVM,
2EN.F,ENTRA ASA            NK 1,Real Estate,Norway,EUR,26,A12DBZ,
2ER.F,"CAESARS ENTMT INC. DL-,01",Hospitality and Tourism,USA,EUR,29,A2P92E,
2EX.F,ASMODEE GROUP AB B O.N.,Unknown,—,EUR,40,A411F9,
2F70.F,WILEY(JOHN)+SONS A   DL 1,Print Media,USA,EUR,50,909878,
2FB.SG,FORTUNE BRANDS HOME & SECURITY,Others,USA,EUR,27,A1JE0N,
2FE.DE,FERRARI N.V.,Vehicles,Netherlands,EUR,5,A2ACKK,
2G1.F,GREEN BRICK PARTNERS INC.,Unknown,—,EUR,20,A12EA8,
2G2.SG,"GLOBANT SA NOM.   DL 1,20",Unknown,—,EUR,31,A117M8,
2GB.DE,2G ENERGY AG,Others,Germany,EUR,31,A0HL8N,
2GL.SG,GAMING & LEISURE PROPERTIES REGISTERED SHARES DL -,Unknown,—,EUR,29,A1W6DM,
2H2.SG,"TWO HARBORS INV. DL-,0001",Unknown,—,EUR,28,A3DW5E,
2H51.F,"OCUGEN INC.       DL-,001",Unknown,—,EUR,48,A2PSZH,
2HA.F,"SPERO THERAP.INC. DL-,001",Unknown,—,EUR,49,A2H63F,
