Code,Name,Isin,Country,Exchange,Currency,Type
HG1,HOMAG Group AG,DE0005297204,Germany,XETRA,EUR,Common Stock
HHHA,Homes & Holiday AG,DE000A3E5E63,Germany,XETRA,EUR,Common Stock
HLBN,LafargeHolcim Ltd,CH0012214059,Germany,XETRA,EUR,Common Stock
HNM,Ormat Technologies Inc,US6866881021,Germany,XETRA,EUR,Common Stock
HOC,HolidayCheck Group AG,DE0005495329,Germany,XETRA,EUR,Common Stock
HP3,Ringmetall AG,DE0006001902,Germany,XETRA,EUR,Common Stock
HPBK,Heliad Equity Partners GmbH & Co. KGaA,DE000A0L1NN5,Germany,XETRA,EUR,Common Stock
HRS,L3Harris Technologies Inc,US5024311095,Germany,XETRA,EUR,Common Stock
HU3,Huntington Bancshares Incorporated,US4461501045,Germany,XETRA,EUR,Common Stock
HXCK,Ernst Russ AG,DE000A161077,Germany,XETRA,EUR,Common Stock
HXG,HXG,SE0015961909,Germany,XETRA,EUR,Common Stock
I7N,ItN Nanovation AG,DE000A0JL461,Germany,XETRA,EUR,Common Stock
I8R,iRobot Corporation,US4627261005,Germany,XETRA,EUR,Common Stock
IC8,InCity Immobilien AG,DE000A0HNF96,Germany,XETRA,EUR,Common Stock
ICP,Panamax AG,DE000A1R1C81,Germany,XETRA,EUR,Common Stock
IGY,innogy SE,DE000A2AADD2,Germany,XETRA,EUR,Common Stock
INP,International Paper Company,US4601461035,Germany,XETRA,EUR,Common Stock
INR_old,INR,ES0177542018,Germany,XETRA,EUR,Common Stock
INW1,GBS Software AG,DE000A14KR27,Germany,XETRA,EUR,Common Stock
IQL,IQ INTL AG         SF-01,CH0451424300,Germany,XETRA,EUR,Common Stock
IQL1,IQL1,CH0563815429,Germany,XETRA,EUR,Common Stock
IS8,ifa systems AG,DE0007830788,Germany,XETRA,EUR,Common Stock
ISH2,INTERSHOP Communications Aktiengesellschaft,DE000A0EPUH1,Germany,XETRA,EUR,Common Stock
ISR,Isra Vision AG,DE0005488100,Germany,XETRA,EUR,Common Stock
IVSD,IVSD,SE0015811963,Germany,XETRA,EUR,Common Stock
IVX,InVision Aktiengesellschaft,DE0005859698,Germany,XETRA,EUR,Common Stock
JB7,Deutsche Industrie REIT-AG,DE000A2G9LL1,Germany,XETRA,EUR,Common Stock
JGE,Julius BÃ¤r Gruppe AG,CH0102484968,Germany,XETRA,EUR,Common Stock
JM2,J.m. Smucker Co.,US8326964058,Germany,XETRA,EUR,Common Stock
JZ6,Deutsche Eigenheim Union AG,DE000A0STWH9,Germany,XETRA,EUR,Common Stock
