Local_ID,Name,Country,Sector,Bid,Ask
851898,IMERYS SA INH.       EO 2,France,Construction & Construction Materials,22.3000 €,22.3400 €
A2JBRN,"IND.LOG.PROP.TR. DL -,01",,,7.7500 €,7.8000 €
A0M5Y3,IND+INFRSTR.FD INVT CORP.,,,765.0000 €,775.0000 €
889710,"INDIA FD INC.     DL-,001",,,9.4520 €,9.5280 €
877360,INDUSTRIV. C,,,46.0300 €,46.2600 €
A2PCBU,INMUNEBIO INC.,,,1.0750 €,1.0850 €
A42DTV,INNIO HOLDING GMBH O.N.,,,28.1350 €,28.3050 €
A1XDU6,"INSTAL.BLDG PRODS DL -,01",,,178.0000 €,179.0000 €
897013,"INTEGR.LIFES.HLDGS DL-,01",USA,Biotech & Nanotech,15.3000 €,15.4000 €
A3CSVV,INTELLEGO TECHNOLOGIES AB,,,4.0900 €,4.1450 €
907155,INTERROLL HOLDING AG,Switzerland,Various services,"1,472.0000 €","1,480.0000 €"
A2DQG7,INTL PET. CORP.,,,21.4200 €,21.7200 €
A3CMTG,INVESTOR B (FRIA)  O.N.,Sweden,Others,34.8000 €,34.9750 €
A0ESMG,IPSEN S.A. PORT.  EO 1,France,Biotech & Nanotech,156.8000 €,157.6000 €
A0YB48,"IRIDIUM COMCTNS DL-,001",,,40.8000 €,41.0000 €
A0X789,"IRONWOOD PHARMA.A DL-,001",USA,Pharma & Cosmetics,3.1400 €,3.1800 €
677459,ITWAY SPA,,,1.0200 €,1.0350 €
A3EHQ7,"IZEA WLDWIDE NEW DL-,0001",,,3.1200 €,3.1400 €
916221,J TRUST CO. LTD.,,,2.0400 €,2.0600 €
A3CY1L,"JACKSON FNCL CL.A  DL-,10",,,93.7800 €,94.1600 €
A41ARP,"JBS N.N.         EO -,01",,,10.8050 €,10.8750 €
A112ST,JD.COM SP.ADR A1 DL-00002,China,Internet & Software,24.7000 €,24.8000 €
A2P5N8,JD.COM. INC. A,,,12.2980 €,12.4560 €
A2JMVU,JEFFERIES FINL GRP   DL 1,USA,Investments & Holdings,53.2000 €,53.4200 €
A2DKYC,"JELD-WEN HLDG INC. DL-,01",,,1.5220 €,1.5380 €
541867,"JETBLUE AWYS CORP. DL-,01",USA,Aircraft & Space,4.3080 €,4.3520 €
850628,JP MORGAN CH. DL 1,USA,Banking & Finance,276.8500 €,277.2000 €
878925,"JP SM.CAP.FD       DL-,10",,,9.9380 €,10.0080 €
A2PZHU,JTOWER INC.,,,22.4000 €,22.6000 €
888962,K S HOLDINGS CORP.,,,10.9000 €,11.0000 €
A2AAD8,KB WALLIS NAM.      SF 10,Switzerland,Banking & Finance,171.0000 €,173.0000 €
A2DNR8,KIMBELL RTY PARTNERS L.P.,,,13.1500 €,13.2300 €
A114V1,KINEPOLIS GRP SA,Belgien,Hospitality and Tourism,33.3000 €,33.4000 €
A429K5,KON.MAR.A. NK10,,,4.8420 €,4.8800 €
A0ET4X,KONE,Finland,Machinery & Equipment,48.6500 €,48.9000 €
A0JMJ1,"KONINK.BAM GP TOON.EO-,10",Netherlands,Construction & Construction Materials,11.3400 €,11.4000 €
904523,"L OREAL    ADR 1/5/EO 0,2",,,77.5000 €,78.5000 €
A2PM3H,"L3HARRIS TECHS INC.DL-,01",USA,Telecommunications,266.1000 €,266.6000 €
869898,LAFARGEHOLCIM LTD.,Switzerland,Construction & Construction Materials,80.5200 €,80.9400 €
A2QEJ6,LAGERCRANTZ GROUP SER.B,,,22.5400 €,22.7000 €
910216,LAURENTIAN BK OF CDA,,,24.8000 €,25.0000 €
A0F657,LEM HOLDING S.A.,Switzerland,Elektrische Geräte,459.5000 €,461.5000 €
851022,"LENNAR CORP.A      DL-,10",USA,Construction & Construction Materials,77.9400 €,78.2400 €
906327,"LEXIBOOK LING. 0,50",,,7.9400 €,7.9800 €
A12DQA,LIBERTY BROADBAND A,USA,Internet & Software,29.4000 €,29.6000 €
A2H9HN,"LIBERTY LAT.AMER.A DL-,01",,,7.0500 €,7.1000 €
A2JATY,"LIBERTY LAT.AMER.C DL-,01",,,7.0500 €,7.1000 €
A3ERSY,LIBERTY MED.A FORMULA ONE,,,70.5000 €,71.0000 €
A3ERTA,LIBERTY MED.C FORMULA ONE,,,76.5000 €,77.0000 €
A2DYXV,LIECHTENST. LDSBK NA SF 5,Liechtenstein,Banking & Finance,110.8000 €,111.0000 €
871784,LLOYDS TSB,Great Britain,Banking & Finance,1.1885 €,1.1990 €
A2P6WP,LOOMIS AB SERIES,,,42.6400 €,43.0600 €
859545,"LOWE'S COS INC.    DL-,50",USA,Construction & Construction Materials,189.7500 €,190.1000 €
A1JZ6S,"LPL FINANCIAL HLDS DL-,01",,,255.4000 €,255.9000 €
A14WDG,LU-VE S.P.A. NOM.,,,67.6000 €,68.3000 €
729780,"LVMH ADR        /2 EO-,30",,,102.0000 €,103.5000 €
A1CWRM,"LYONDELLBAS.IND.A EO -,04",Netherlands,Chemistry,55.7600 €,55.9800 €
888353,"MACERICH CO.,THE   DL-,01",USA,Real Estate,21.8000 €,22.0000 €
A0MS7Y,"MACYS, INC.        DL-,01",USA,Department stores & Retail,21.9300 €,21.9900 €
A1C1SD,MAGNACHIP SEMICONDUC.DEP.,,,5.3000 €,5.3500 €
A40S37,"MAGNERA CORP. WI DL-,01",,,10.9000 €,11.0000 €
A0X8Y3,"MAIN STREET CAP.CP.DL-,01",,,44.7950 €,45.0650 €
858000,MAKINO MILLG MACH.,,,75.5000 €,76.5000 €
A1XB59,"MALIBU BOATS INC.A DL-,01",,,24.0000 €,24.2000 €
A2QHK8,"MARAVAI LIFESC.HLD.A -,01",,,4.2600 €,4.3000 €
904974,"MARIE BRIZ. W.+S.IN.EO1,4",France,Alcohol & Tobacco,2.7300 €,2.7700 €
A0F602,"MASTERCARD INC.A DL-,0001",USA,Banking & Finance,422.8000 €,423.6000 €
A1JTVV,"MATADOR RESOURSES DL -,01",,,46.5900 €,46.8700 €
858250,MCCORMICK + CO.INC. N.VTG,USA,Food,42.1900 €,42.4500 €
856958,MCDONALDS CORP.,USA,Hospitality and Tourism,246.4000 €,246.7000 €
851715,"MEDIOBCA          EO 0,50",Italy,Banking & Finance,25.7100 €,25.9300 €
